chamber,role,state,district,name,party,kind,what,date,source,source_name,grade,lean,as_of,page
Senate,senator,AZ,,Mark Kelly,Democratic,action,Co-signed a letter asking FERC to convene a technical conference on data-center load and affordable rates; previewed legislation to bring communities into siting with enforceable commitments.,,https://www.vanhollen.senate.gov/news/press-releases/van-hollen-colleagues-call-on-ferc-to-ensure-affordable-reliable-electricity-service-for-americans-amid-rising-energy-demands-of-data-centers,Sen. Van Hollen & colleagues call on FERC to ensure affordable service amid data-center demand (2025),B,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-k000377
Senate,senator,CA,,Adam B. Schiff,Democratic,action,Introduced the Energy Cost Fairness and Reliability Act: large loads such as data centers pay 100% of the grid upgrades needed to serve them and bring their own generation before connecting.,,https://www.schiff.senate.gov/news/press-releases/news-sen-schiff-unveils-major-legislation-to-ensure-fair-and-affordable-energy-costs-for-americans-amid-data-center-buildouts/,Sen. Schiff unveils Energy Cost Fairness and Reliability Act (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-s001150
Senate,senator,CT,,Richard Blumenthal,Democratic,action,Co-introduced the GRID Act to stop data centers from raising Americans' electricity costs.,,https://www.hawley.senate.gov/hawley-blumenthal-introduce-bill-to-prevent-data-centers-from-increasing-electricity-costs-for-americans,Sens. Hawley & Blumenthal — GRID Act to stop data centers raising electric bills (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-b001277
Senate,senator,FL,,Rick Scott,Republican,action,"Introduced, with Marshall, a resolution endorsing the Ratepayer Protection Pledge: tech companies pay their own electricity and grid-infrastructure costs.",,https://www.rickscott.senate.gov/2026/4/sens-rick-scott-roger-marshall-introduce-resolution-supporting-pres-trump-s-ratepayer-protection-pledge,Sens. Rick Scott & Marshall introduce resolution supporting the Ratepayer Protection Pledge (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-s001217
Senate,senator,GA,,Jon Ossoff,Democratic,action,Launched an investigation into data centers' impact on Georgians' power bills.,,https://www.wrdw.com/2026/04/20/ossoff-looks-into-ga-data-centers-impact-power-bills/,Sen. Ossoff investigates Georgia data centers' impact on power bills (2026),B,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-o000174
Senate,senator,GA,,Raphael G. Warnock,Democratic,action,"Led a letter to FERC to shield households from data-center costs, secured $50M for communities facing data-center energy and water demands, and called for a Georgia data-center pause.",,https://www.warnock.senate.gov/newsroom/press-releases/warnock-markey-push-trump-admin-to-shield-americans-from-data-center-energy-costs/,Sens. Warnock & Markey push FERC to shield Americans from data-center energy costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-w000790
Senate,senator,IL,,Richard J. Durbin,Democratic,action,Cosponsored the Power for the People Act and introduced the Data Center Water and Energy Transparency Act (S. 4213).,,https://www.durbin.senate.gov/newsroom/press-releases/as-utility-costs-rise-durbin-introduces-new-legislation-to-bring-transparency-to-energy-and-water-consumption-by-data-centers,Sen. Durbin introduces the Data Center Water and Energy Transparency Act (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-d000563
Senate,senator,KS,,Roger Marshall,Republican,action,Introduced a resolution backing the Ratepayer Protection Pledge — tech companies pay their own grid costs — and opposes tax incentives for data centers.,,https://www.marshall.senate.gov/newsroom/press-releases/senator-marshall-applauds-president-trump-for-expanding-ratepayer-protection-pledge/,Sen. Marshall applauds expansion of the Ratepayer Protection Pledge (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-m001198
Senate,senator,MA,,Elizabeth Warren,Democratic,action,"Opened an investigation into whether Big Tech data centers raise families' utility bills and, with Hawley, secured mandatory EIA energy-use reporting for data centers.",,https://www.warren.senate.gov/newsroom/press-releases/senator-warren-lawmakers-open-investigation-into-big-tech-data-centers-role-in-driving-up-families-utility-costs,Sen. Warren — investigation into Big Tech data centers' role in utility costs (2025),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-w000817
Senate,senator,MA,,Edward J. Markey,Democratic,action,Led letters to ISO New England and to NARUC on shielding ratepayers from data-center costs; released a draft bill requiring a federal public-interest certificate before a data center is permitted.,,https://www.markey.senate.gov/news/press-releases/senator-markey-releases-discussion-draft-of-legislation-to-create-a-national-framework-to-address-data-center-harm,"Sen. Markey — discussion draft, Protecting Communities from Data Center Impacts Act (2026)",A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-m000133
